participant_ID,treatment,part,trial_no,rounds,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,true_guilty_suspect,suspect_accused
1.0,0.0,1.0,11.0,5.0,0.7,1,0,1.0,0,0,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,2,0,1.0,0,1,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,3,0,1.0,0,2,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,4,0,1.0,0,3,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,5,0,1.0,0,4,1,1,0.0,0.0
1.0,0.0,1.0,11.0,5.0,0.7,5,1,0.0,0,5,0,-1,0.0,0.0
1.0,0.0,1.0,12.0,7.0,0.9,1,0,1.0,0,0,1,1,0.0,0.0
1.0,0.0,1.0,12.0,7.0,0.9,2,0,1.0,0,1,1,1,0.0,0.0
1.0,0.0,1.0,12.0,7.0,0.9,3,0,1.0,0,2,1,1,0.0,0.0
1.0,0.0,1.0,12.0,7.0,0.9,4,0,1.0,0,3,1,1,0.0,0.0
1.0,0.0,1.0,12.0,7.0,0.9,5,0,1.0,0,4,1,1,0.0,0.0
1.0,0.0,1.0,12.0,7.0,0.9,6,0,1.0,0,5,1,1,0.0,0.0
1.0,0.0,1.0,12.0,7.0,0.9,7,0,1.0,0,6,1,1,0.0,0.0
1.0,0.0,1.0,12.0,7.0,0.9,7,1,0.0,0,7,0,-1,0.0,0.0
1.0,0.0,1.0,13.0,1.0,0.5,1,0,1.0,0,0,1,1,1.0,0.0
1.0,0.0,1.0,13.0,1.0,0.5,1,1,0.0,0,1,0,-1,1.0,0.0
1.0,0.0,1.0,14.0,3.0,0.7,1,0,1.0,0,0,1,1,0.0,0.0
1.0,0.0,1.0,14.0,3.0,0.7,2,0,1.0,0,1,1,1,0.0,0.0
1.0,0.0,1.0,14.0,3.0,0.7,3,0,1.0,0,2,1,1,0.0,0.0
1.0,0.0,1.0,14.0,3.0,0.7,3,1,0.0,0,3,0,-1,0.0,0.0
1.0,0.0,1.0,15.0,3.0,0.5,1,0,1.0,0,0,1,1,0.0,0.0
1.0,0.0,1.0,15.0,3.0,0.5,2,0,1.0,0,1,1,1,0.0,0.0
1.0,0.0,1.0,15.0,3.0,0.5,3,0,1.0,0,2,1,1,0.0,0.0
1.0,0.0,1.0,15.0,3.0,0.5,3,1,0.0,0,3,0,-1,0.0,0.0
1.0,0.0,1.0,16.0,9.0,0.9,1,0,1.0,0,0,1,1,0.0,0.0
1.0,0.0,1.0,16.0,9.0,0.9,2,0,1.0,0,1,1,1,0.0,0.0
1.0,0.0,1.0,16.0,9.0,0.9,3,0,1.0,0,2,1,1,0.0,0.0
1.0,0.0,1.0,16.0,9.0,0.9,4,0,1.0,0,3,1,1,0.0,0.0
1.0,0.0,1.0,16.0,9.0,0.9,5,0,1.0,0,4,1,1,0.0,0.0
1.0,0.0,1.0,16.0,9.0,0.9,6,0,1.0,0,5,1,1,0.0,0.0
