,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
31,2,1,4,59.0,76.0,66.0,79.0,50.0,39.0,88.0,83.0,58.0,50.0,69.0,28.0,355.0,390.0,333.38390000002687,1,1,1,,,,,14,2,32,2,2,1,2
32,2,1,3,73.0,89.0,79.0,69.0,35.0,73.0,76.0,58.0,62.0,61.0,62.0,25.0,387.0,375.0,466.89809999997965,1,0,0,,,,,14,2,33,3,2,1,1
33,2,1,4,87.0,38.0,76.0,72.0,87.0,39.0,80.0,36.0,77.0,76.0,69.0,31.0,292.0,476.0,316.64630000004536,1,1,1,,,,,14,2,34,4,2,1,2
34,2,1,4,85.0,47.0,90.0,55.0,39.0,45.0,61.0,78.0,55.0,88.0,47.0,71.0,384.0,377.0,283.60670000008537,0,1,1,,,,,14,2,35,5,2,1,2
35,2,1,4,86.0,32.0,65.0,66.0,47.0,76.0,76.0,73.0,27.0,89.0,76.0,82.0,418.0,377.0,583.7644999999437,0,1,1,,,,,14,2,36,6,2,1,2
36,2,1,1,86.0,86.0,88.0,54.0,60.0,87.0,89.0,57.0,80.0,33.0,83.0,82.0,486.0,399.0,1133.8948999998165,1,0,0,,,,,14,2,37,7,2,1,1
37,2,1,3,48.0,87.0,31.0,86.0,88.0,88.0,35.0,78.0,83.0,47.0,84.0,68.0,369.0,454.0,2101.644299999893,0,0,0,,,,,14,2,38,8,2,1,1
38,2,1,1,69.0,79.0,56.0,71.0,79.0,90.0,65.0,83.0,73.0,47.0,37.0,84.0,379.0,454.0,634.0594000000857,1,1,1,,,,,14,2,39,9,2,1,1
39,2,1,3,74.0,68.0,64.0,90.0,62.0,63.0,40.0,74.0,46.0,35.0,45.0,16.0,331.0,346.0,450.29579999997515,0,0,0,,,,,14,2,40,10,2,1,1
40,2,1,1,68.0,82.0,46.0,78.0,48.0,81.0,68.0,90.0,78.0,60.0,82.0,79.0,390.0,470.0,283.630199999956,1,1,1,,,,,14,2,41,11,2,1,1
41,2,1,2,85.0,16.0,80.0,78.0,46.0,40.0,66.0,68.0,49.0,47.0,65.0,40.0,289.0,391.0,467.1746999999508,1,1,1,,,,,14,2,42,12,2,1,2
42,2,1,2,77.0,77.0,64.0,88.0,70.0,78.0,79.0,79.0,39.0,71.0,87.0,87.0,480.0,416.0,567.1467000002042,0,1,1,,,,,14,2,43,13,2,1,2
43,2,1,1,76.0,58.0,62.0,61.0,62.0,25.0,73.0,89.0,79.0,69.0,35.0,73.0,387.0,375.0,500.46660000009,1,0,0,,,,,14,2,44,14,2,1,1
44,2,1,3,51.0,10.0,61.0,40.0,36.0,84.0,64.0,52.0,41.0,41.0,30.0,12.0,283.0,239.0,450.61240000009985,1,0,0,,,,,14,2,45,15,2,1,1
45,2,1,2,89.0,69.0,81.0,37.0,28.0,90.0,59.0,87.0,83.0,64.0,84.0,74.0,421.0,424.0,450.41930000004373,0,0,0,,,,,14,2,46,16,2,1,2
46,2,1,1,59.0,89.0,69.0,28.0,54.0,66.0,82.0,76.0,89.0,79.0,90.0,77.0,443.0,415.0,417.044100000034,0,1,1,,,,,14,2,47,17,2,1,1
47,2,1,1,55.0,57.0,47.0,64.0,64.0,67.0,79.0,41.0,57.0,26.0,81.0,61.0,383.0,316.0,717.3334999999962,1,0,0,,,,,14,2,48,18,2,1,1
48,2,1,3,79.0,41.0,57.0,26.0,81.0,61.0,55.0,57.0,47.0,64.0,64.0,67.0,383.0,316.0,767.3546000000205,1,0,0,,,,,14,2,49,19,2,1,1
49,2,1,4,66.0,68.0,49.0,47.0,65.0,40.0,85.0,16.0,80.0,78.0,46.0,40.0,289.0,391.0,350.1977999999536,1,1,1,,,,,14,2,50,20,2,1,2
50,2,1,1,73.0,90.0,31.0,58.0,76.0,82.0,57.0,74.0,78.0,30.0,90.0,75.0,405.0,409.0,433.4809999999009,1,1,1,,,,,14,2,51,21,2,1,1
51,2,1,3,56.0,70.0,81.0,43.0,40.0,72.0,57.0,43.0,50.0,61.0,89.0,64.0,373.0,353.0,767.5081000000238,1,0,0,,,,,14,2,52,22,2,1,1
52,2,1,4,84.0,48.0,77.0,34.0,77.0,39.0,84.0,75.0,51.0,30.0,79.0,77.0,303.0,452.0,433.807900000026,1,1,1,,,,,14,2,53,23,2,1,2
53,2,1,4,79.0,70.0,58.0,72.0,86.0,23.0,90.0,50.0,66.0,72.0,73.0,56.0,343.0,452.0,433.66390000001996,1,1,1,,,,,14,2,54,24,2,1,2
54,2,1,4,59.0,87.0,83.0,64.0,84.0,74.0,89.0,69.0,81.0,37.0,28.0,90.0,421.0,424.0,433.83769999992796,1,1,1,,,,,14,2,55,25,2,1,2
55,2,1,3,57.0,70.0,63.0,35.0,67.0,81.0,73.0,75.0,73.0,79.0,82.0,49.0,415.0,389.0,450.39150000009687,0,1,1,,,,,14,2,56,26,2,1,1
56,2,1,2,84.0,75.0,51.0,30.0,79.0,77.0,84.0,48.0,77.0,34.0,77.0,39.0,303.0,452.0,333.5309000000008,1,1,1,,,,,14,2,57,27,2,1,2
