,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
77,6,2,3,18,0,1,2,1,78,0,29.0,33.0,26.0,40.0,47.0,57.0,33.0,22.0,63.0,19.0,78.0,58.0,232.0,273.0,350.0489999999642,1,1,,,,
78,6,2,3,19,0,1,2,1,79,0,39.0,33.0,35.0,17.0,45.0,22.0,17.0,49.0,41.0,54.0,50.0,40.0,191.0,251.0,383.3869999999996,1,1,,,,
79,6,2,3,20,0,1,2,1,80,0,43.0,53.0,33.0,46.0,28.0,11.0,38.0,23.0,18.0,21.0,28.0,18.0,214.0,146.0,466.7320000000066,0,1,,,,
80,6,2,3,21,0,1,2,1,81,0,12.0,26.0,54.0,11.0,33.0,52.0,46.0,47.0,41.0,62.0,18.0,72.0,188.0,286.0,383.3870000000112,1,1,,,,
81,6,2,3,22,0,1,2,1,82,0,17.0,49.0,41.0,54.0,50.0,40.0,39.0,33.0,35.0,17.0,45.0,22.0,251.0,191.0,633.4219999998691,0,1,,,,
82,6,2,3,23,0,1,2,1,83,0,56.0,20.0,66.0,52.0,15.0,48.0,21.0,17.0,24.0,53.0,10.0,52.0,257.0,177.0,500.0699999999605,0,1,,,,
83,6,2,3,24,0,1,2,1,84,0,38.0,23.0,18.0,21.0,28.0,18.0,43.0,53.0,33.0,46.0,28.0,11.0,146.0,214.0,483.4009999999661,1,1,,,,
84,6,2,3,25,0,1,2,1,85,0,46.0,47.0,41.0,62.0,18.0,72.0,12.0,26.0,54.0,11.0,33.0,52.0,286.0,188.0,400.056000000029,0,1,,,,
85,6,2,3,26,0,1,2,1,86,0,49.0,46.0,17.0,39.0,11.0,43.0,51.0,58.0,84.0,71.0,43.0,30.0,205.0,337.0,433.3939999999829,1,1,,,,
86,6,2,3,27,0,1,2,1,87,0,74.0,74.0,27.0,23.0,23.0,32.0,58.0,31.0,77.0,71.0,27.0,49.0,253.0,313.0,400.0559999998659,1,1,,,,
87,6,2,3,28,0,1,2,1,88,0,66.0,37.0,11.0,30.0,56.0,41.0,32.0,24.0,60.0,39.0,26.0,23.0,241.0,204.0,1200.1680000000626,0,1,,,,
88,6,2,3,29,0,1,2,1,89,0,43.0,15.0,17.0,67.0,16.0,33.0,11.0,19.0,76.0,11.0,32.0,30.0,191.0,179.0,733.4360000000103,1,0,,,,
89,6,2,3,30,0,1,2,1,90,0,23.0,12.0,65.0,36.0,17.0,33.0,50.0,52.0,21.0,67.0,24.0,16.0,186.0,230.0,450.06300000003546,1,1,,,,
90,6,2,4,1,2,3,1,1,91,2,20.0,30.0,30.0,49.0,22.0,12.0,17.0,48.0,17.0,10.0,37.0,47.0,163.0,176.0,200.23700000002282,1,1,,,,
91,6,2,4,2,2,3,1,1,92,4,48.0,52.0,31.0,20.0,13.0,64.0,36.0,34.0,66.0,19.0,47.0,40.0,228.0,242.0,383.3870000000229,1,1,,,,
92,6,2,4,3,1,3,1,1,93,1,47.0,34.0,10.0,35.0,18.0,22.0,22.0,17.0,40.0,47.0,52.0,40.0,166.0,218.0,316.71099999999865,0,0,,,,
93,6,2,4,4,2,3,1,1,94,4,19.0,36.0,52.0,15.0,78.0,43.0,35.0,60.0,18.0,30.0,10.0,68.0,243.0,221.0,600.0840000000202,1,0,,,,
94,6,2,4,5,1,3,1,1,95,3,55.0,35.0,40.0,26.0,20.0,11.0,12.0,10.0,22.0,17.0,23.0,26.0,187.0,110.0,316.71100000002195,0,1,,,,
95,6,2,4,6,1,3,1,1,96,3,86.0,11.0,27.0,13.0,42.0,44.0,18.0,47.0,44.0,63.0,33.0,31.0,223.0,236.0,233.3659999999917,0,0,,,,
96,6,2,4,7,2,3,1,1,97,4,12.0,21.0,50.0,84.0,47.0,69.0,16.0,11.0,64.0,38.0,40.0,29.0,283.0,198.0,300.04199999999264,0,1,,,,
97,6,2,4,8,2,3,1,1,98,4,63.0,77.0,36.0,27.0,27.0,17.0,29.0,24.0,38.0,68.0,35.0,19.0,247.0,213.0,500.07000000006536,0,1,,,,
98,6,2,4,9,1,3,1,1,99,3,62.0,20.0,51.0,37.0,63.0,84.0,46.0,38.0,55.0,68.0,42.0,53.0,317.0,302.0,200.0280000000145,0,1,,,,
99,6,2,4,10,2,3,1,1,100,4,17.0,48.0,17.0,10.0,37.0,47.0,20.0,30.0,30.0,49.0,22.0,12.0,176.0,163.0,250.03500000004433,0,1,,,,
100,6,2,4,11,2,3,1,1,101,2,29.0,24.0,38.0,68.0,35.0,19.0,63.0,77.0,36.0,27.0,27.0,17.0,213.0,247.0,783.4430000000166,1,1,,,,
101,6,2,4,12,1,3,1,1,102,3,14.0,75.0,67.0,16.0,22.0,11.0,25.0,18.0,51.0,28.0,14.0,54.0,205.0,190.0,366.71800000000525,0,1,,,,
102,6,2,4,13,2,3,1,1,103,2,23.0,36.0,60.0,23.0,17.0,13.0,25.0,32.0,38.0,12.0,23.0,40.0,172.0,170.0,866.7880000000467,1,0,,,,
103,6,2,4,14,1,3,1,1,104,1,67.0,44.0,52.0,11.0,31.0,53.0,65.0,62.0,51.0,18.0,33.0,11.0,258.0,240.0,750.1050000000397,0,1,,,,
104,6,2,4,15,2,3,1,1,105,4,25.0,32.0,38.0,12.0,23.0,40.0,23.0,36.0,60.0,23.0,17.0,13.0,170.0,172.0,366.71800000002855,1,1,,,,
105,6,2,4,16,1,3,1,1,106,3,35.0,63.0,76.0,52.0,45.0,19.0,53.0,19.0,30.0,36.0,62.0,58.0,290.0,258.0,250.03499999997442,1,0,,,,
106,6,2,4,17,2,3,1,1,107,4,20.0,26.0,16.0,53.0,15.0,37.0,38.0,70.0,17.0,39.0,57.0,76.0,167.0,297.0,333.38000000001637,1,1,,,,
107,6,2,4,18,1,3,1,1,108,1,18.0,47.0,44.0,63.0,33.0,31.0,86.0,11.0,27.0,13.0,42.0,44.0,236.0,223.0,1066.8160000000262,1,0,,,,
108,6,2,4,19,1,3,1,1,109,3,65.0,62.0,51.0,18.0,33.0,11.0,67.0,44.0,52.0,11.0,31.0,53.0,240.0,258.0,450.06299999997725,1,1,,,,
109,6,2,4,20,1,3,1,1,110,1,12.0,10.0,22.0,17.0,23.0,26.0,55.0,35.0,40.0,26.0,20.0,11.0,110.0,187.0,200.02800000003774,1,1,,,,
110,6,2,4,21,1,3,1,1,111,1,20.0,33.0,33.0,42.0,22.0,56.0,18.0,37.0,37.0,12.0,35.0,13.0,206.0,152.0,383.3870000000229,0,1,,,,
111,6,2,4,22,2,3,1,1,112,2,35.0,60.0,18.0,30.0,10.0,68.0,19.0,36.0,52.0,15.0,78.0,43.0,221.0,243.0,450.0629999999424,1,1,,,,
112,6,2,4,23,1,3,1,1,113,1,46.0,38.0,55.0,68.0,42.0,53.0,62.0,20.0,51.0,37.0,63.0,84.0,302.0,317.0,633.4220000000437,1,1,,,,
113,6,2,4,24,1,3,1,1,114,3,18.0,37.0,37.0,12.0,35.0,13.0,20.0,33.0,33.0,42.0,22.0,56.0,152.0,206.0,316.71100000001024,1,1,,,,
114,6,2,4,25,1,3,1,1,115,3,22.0,17.0,40.0,47.0,52.0,40.0,47.0,34.0,10.0,35.0,18.0,22.0,218.0,166.0,250.03500000002103,0,1,,,,
115,6,2,4,26,1,3,1,1,116,1,25.0,18.0,51.0,28.0,14.0,54.0,14.0,75.0,67.0,16.0,22.0,11.0,190.0,205.0,766.7740000000455,1,1,,,,
116,6,2,4,27,2,3,1,1,117,2,38.0,70.0,17.0,39.0,57.0,76.0,20.0,26.0,16.0,53.0,15.0,37.0,297.0,167.0,550.0770000000717,0,1,,,,
117,6,2,4,28,1,3,1,1,118,1,53.0,19.0,30.0,36.0,62.0,58.0,35.0,63.0,76.0,52.0,45.0,19.0,258.0,290.0,483.4010000000127,0,0,,,,
118,6,2,4,29,2,3,1,1,119,2,16.0,11.0,64.0,38.0,40.0,29.0,12.0,21.0,50.0,84.0,47.0,69.0,198.0,283.0,466.7320000000532,1,1,,,,
119,6,2,4,30,2,3,1,1,120,2,36.0,34.0,66.0,19.0,47.0,40.0,48.0,52.0,31.0,20.0,13.0,64.0,242.0,228.0,200.02799999999118,1,0,,,,
120,6,2,5,1,2,6,1,2,121,2,20.0,30.0,30.0,49.0,22.0,12.0,17.0,48.0,17.0,10.0,37.0,47.0,163.0,176.0,350.04899999988265,0,0,,,,
121,6,2,5,2,2,6,1,2,122,4,48.0,52.0,31.0,20.0,13.0,64.0,36.0,34.0,66.0,19.0,47.0,40.0,228.0,242.0,316.7109999998938,0,0,,,,
122,6,2,5,3,1,6,1,2,123,1,47.0,34.0,10.0,35.0,18.0,22.0,22.0,17.0,40.0,47.0,52.0,40.0,166.0,218.0,2100.294000000063,1,1,,,,
123,6,2,5,4,2,6,1,2,124,4,19.0,36.0,52.0,15.0,78.0,43.0,35.0,60.0,18.0,30.0,10.0,68.0,243.0,221.0,316.7109999998938,0,1,,,,
124,6,2,5,5,1,6,1,2,125,3,55.0,35.0,40.0,26.0,20.0,11.0,12.0,10.0,22.0,17.0,23.0,26.0,187.0,110.0,1016.8089999999153,0,1,,,,
125,6,2,5,6,1,6,1,2,126,3,86.0,11.0,27.0,13.0,42.0,44.0,18.0,47.0,44.0,63.0,33.0,31.0,223.0,236.0,383.38699999987153,1,1,,,,
126,6,2,5,7,2,6,1,2,127,4,12.0,21.0,50.0,84.0,47.0,69.0,16.0,11.0,64.0,38.0,40.0,29.0,283.0,198.0,300.2840999999783,0,1,,,,
127,6,2,5,8,2,6,1,2,128,4,63.0,77.0,36.0,27.0,27.0,17.0,29.0,24.0,38.0,68.0,35.0,19.0,247.0,213.0,333.3800000001443,0,1,,,,
128,6,2,5,9,1,6,1,2,129,3,62.0,20.0,51.0,37.0,63.0,84.0,46.0,38.0,55.0,68.0,42.0,53.0,317.0,302.0,516.7389999998502,1,0,,,,
129,6,2,5,10,2,6,1,2,130,4,17.0,48.0,17.0,10.0,37.0,47.0,20.0,30.0,30.0,49.0,22.0,12.0,176.0,163.0,566.7460000000427,0,1,,,,
130,6,2,5,11,2,6,1,2,131,2,29.0,24.0,38.0,68.0,35.0,19.0,63.0,77.0,36.0,27.0,27.0,17.0,213.0,247.0,300.0420000000392,1,1,,,,
131,6,2,5,12,1,6,1,2,132,3,14.0,75.0,67.0,16.0,22.0,11.0,25.0,18.0,51.0,28.0,14.0,54.0,205.0,190.0,400.0559999998892,1,0,,,,
132,6,2,5,13,2,6,1,2,133,2,23.0,36.0,60.0,23.0,17.0,13.0,25.0,32.0,38.0,12.0,23.0,40.0,172.0,170.0,383.3870000001277,0,1,,,,
133,6,2,5,14,1,6,1,2,134,1,67.0,44.0,52.0,11.0,31.0,53.0,65.0,62.0,51.0,18.0,33.0,11.0,258.0,240.0,433.3940000001108,1,0,,,,
134,6,2,5,15,2,6,1,2,135,4,25.0,32.0,38.0,12.0,23.0,40.0,23.0,36.0,60.0,23.0,17.0,13.0,170.0,172.0,333.380000000028,1,1,,,,
135,6,2,5,16,1,6,1,2,136,3,35.0,63.0,76.0,52.0,45.0,19.0,53.0,19.0,30.0,36.0,62.0,58.0,290.0,258.0,333.3800000001443,0,1,,,,
