,participant_ID,treatment,block_progressive_ID,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,trial_ID_block,left-0-right
31,13,1,1,5,3,2,32,2,60.0,30.0,39.0,36.0,26.0,40.0,21.0,72.0,56.0,70.0,74.0,68.0,316.0,276.0,2652.3060999997947,0,1,,,,,32,2
32,13,1,1,5,3,2,33,1,66.0,42.0,23.0,57.0,57.0,83.0,64.0,35.0,30.0,71.0,77.0,88.0,317.0,376.0,1234.4018999999562,0,0,,,,,33,1
33,13,1,1,5,3,2,34,4,65.0,70.0,86.0,68.0,36.0,50.0,66.0,85.0,44.0,40.0,32.0,77.0,390.0,329.0,1250.9996000000742,0,1,,,,,34,2
34,13,1,1,5,3,2,35,3,88.0,88.0,69.0,89.0,34.0,38.0,64.0,36.0,29.0,67.0,90.0,68.0,374.0,386.0,3018.404699999932,0,0,,,,,35,1
35,13,1,1,5,3,2,36,4,88.0,77.0,77.0,46.0,52.0,87.0,35.0,20.0,61.0,63.0,82.0,57.0,350.0,395.0,4219.864300000064,0,0,,,,,36,2
36,13,1,1,5,3,2,37,1,42.0,57.0,28.0,37.0,76.0,66.0,62.0,89.0,54.0,45.0,53.0,79.0,315.0,373.0,1150.9016000000588,0,0,,,,,37,1
37,13,1,1,5,3,2,38,3,68.0,82.0,49.0,88.0,83.0,75.0,16.0,44.0,72.0,72.0,51.0,88.0,339.0,449.0,900.7522999999812,0,0,,,,,38,1
38,13,1,1,5,3,2,39,1,84.0,49.0,27.0,67.0,62.0,79.0,73.0,31.0,89.0,76.0,80.0,57.0,415.0,359.0,1300.8956999999184,0,1,,,,,39,1
39,13,1,1,5,3,2,40,3,46.0,27.0,65.0,79.0,82.0,64.0,31.0,64.0,85.0,54.0,57.0,65.0,366.0,353.0,1051.0291000000032,0,1,,,,,40,1
40,13,1,1,5,3,2,41,2,83.0,80.0,64.0,60.0,46.0,21.0,85.0,87.0,88.0,41.0,24.0,82.0,371.0,390.0,2485.341499999944,0,0,,,,,41,2
41,13,1,1,5,3,2,42,3,27.0,72.0,78.0,70.0,84.0,67.0,75.0,38.0,87.0,83.0,52.0,68.0,403.0,398.0,1801.256000000058,0,1,,,,,42,1
42,13,1,1,5,3,2,43,3,73.0,59.0,79.0,63.0,72.0,43.0,33.0,90.0,78.0,65.0,36.0,75.0,371.0,395.0,1901.7707999999704,0,0,,,,,43,1
43,13,1,1,5,3,2,44,4,70.0,82.0,22.0,16.0,35.0,23.0,51.0,55.0,62.0,34.0,33.0,44.0,254.0,273.0,2286.926899999893,0,0,,,,,44,2
44,13,1,1,5,3,2,45,2,25.0,52.0,61.0,38.0,38.0,62.0,53.0,40.0,90.0,53.0,78.0,87.0,332.0,345.0,1184.4739999999467,0,0,,,,,45,2
45,13,1,1,5,3,2,46,3,82.0,70.0,33.0,83.0,48.0,59.0,90.0,41.0,84.0,82.0,68.0,85.0,405.0,420.0,983.9761000000116,0,0,,,,,46,1
