,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
27,1,2,0,28.0,67.0,30.0,69.0,61.0,37.0,13.0,43.0,13.0,17.0,52.0,49.0,292.0,187.0,400.0060000001686,1,0,0,,,,,9,0,0,0,1,1,0
28,1,2,0,12.0,71.0,40.0,50.0,25.0,60.0,37.0,31.0,42.0,52.0,35.0,48.0,258.0,245.0,216.14400000008754,0,1,1,,,,,9,0,0,0,1,1,0
29,1,2,0,28.0,18.0,67.0,54.0,66.0,47.0,49.0,51.0,45.0,10.0,28.0,40.0,280.0,223.0,1914.1806666660045,0,1,1,,,,,9,0,0,0,1,1,0
30,1,2,0,15.0,15.0,38.0,17.0,47.0,58.0,22.0,14.0,43.0,10.0,28.0,21.0,190.0,138.0,5921.2806666676115,0,1,1,,,,,9,0,0,0,1,1,0
31,1,2,0,46.0,14.0,50.0,25.0,46.0,37.0,65.0,31.0,64.0,46.0,28.0,30.0,218.0,264.0,599.9819999999369,0,0,0,,,,,9,0,0,0,1,1,0
32,1,2,0,19.0,34.0,43.0,34.0,22.0,68.0,30.0,18.0,31.0,47.0,13.0,43.0,220.0,182.0,466.53666666726747,0,1,1,,,,,9,0,0,0,1,1,0
33,1,2,0,21.0,40.0,45.0,25.0,75.0,17.0,10.0,11.0,56.0,11.0,20.0,13.0,223.0,121.0,649.5439999998313,0,1,1,,,,,9,0,0,0,1,1,0
34,1,2,0,20.0,13.0,20.0,38.0,56.0,53.0,62.0,48.0,39.0,48.0,23.0,32.0,200.0,252.0,1149.9519999999793,1,1,1,,,,,9,0,0,0,1,1,0
35,1,2,0,27.0,72.0,36.0,90.0,13.0,52.0,30.0,23.0,14.0,11.0,27.0,10.0,290.0,115.0,499.9699999999488,0,1,1,,,,,9,0,0,0,1,1,0
36,1,2,0,17.0,16.0,22.0,15.0,16.0,43.0,29.0,35.0,10.0,36.0,12.0,11.0,129.0,133.0,499.9979999999749,0,0,0,,,,,9,0,0,0,1,1,0
37,1,2,0,43.0,12.0,25.0,37.0,22.0,60.0,11.0,61.0,14.0,48.0,19.0,48.0,199.0,201.0,499.99799999997504,0,0,0,,,,,9,0,0,0,1,1,0
38,1,2,0,13.0,22.0,45.0,35.0,66.0,18.0,68.0,13.0,31.0,24.0,20.0,37.0,199.0,193.0,1371.6480000008596,0,1,1,,,,,9,0,0,0,1,1,0
39,1,2,0,76.0,23.0,36.0,41.0,29.0,61.0,44.0,28.0,76.0,16.0,15.0,11.0,266.0,190.0,746.8973333341148,0,1,1,,,,,9,0,0,0,1,1,0
40,1,2,0,34.0,44.0,60.0,40.0,25.0,16.0,44.0,28.0,32.0,38.0,56.0,40.0,219.0,238.0,99945.89533332805,0,0,0,,,,,9,0,0,0,1,1,0
41,1,2,0,51.0,39.0,19.0,12.0,17.0,26.0,33.0,31.0,22.0,35.0,22.0,29.0,164.0,172.0,200.0080000001006,0,0,0,,,,,9,0,0,0,1,1,0
