,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
31,12,2,2,2,2,6,1,2,32,4,79.0,30.0,69.0,76.0,80.0,67.0,13.0,51.0,50.0,31.0,27.0,32.0,401.0,204.0,566.5620999999869,0,1,,,,
32,12,2,2,3,2,6,1,2,33,4,36.0,18.0,49.0,25.0,32.0,43.0,17.0,30.0,22.0,49.0,14.0,45.0,203.0,177.0,583.2110000000217,1,0,,,,
33,12,2,2,4,2,6,1,2,34,2,55.0,31.0,40.0,14.0,65.0,14.0,25.0,49.0,32.0,42.0,15.0,22.0,219.0,185.0,216.64269999995597,0,1,,,,
34,12,2,2,5,2,6,1,2,35,4,17.0,47.0,43.0,14.0,34.0,20.0,67.0,18.0,30.0,11.0,35.0,73.0,175.0,234.0,383.4804999999237,1,1,,,,
35,12,2,2,6,2,6,1,2,36,4,48.0,12.0,53.0,21.0,28.0,24.0,12.0,12.0,36.0,57.0,22.0,44.0,186.0,183.0,366.5983999999937,1,0,,,,
36,12,2,2,7,1,6,1,2,37,1,83.0,27.0,78.0,40.0,21.0,37.0,45.0,51.0,15.0,43.0,45.0,16.0,286.0,215.0,449.96719999987414,0,1,,,,
37,12,2,2,8,1,6,1,2,38,1,31.0,32.0,23.0,14.0,85.0,52.0,54.0,41.0,49.0,17.0,66.0,11.0,237.0,238.0,433.2238999998896,1,1,,,,
38,12,2,2,9,1,6,1,2,39,3,18.0,82.0,11.0,32.0,18.0,23.0,34.0,64.0,21.0,40.0,55.0,34.0,184.0,248.0,383.39489999994413,0,0,,,,
39,12,2,2,10,2,6,1,2,40,2,34.0,26.0,61.0,41.0,50.0,13.0,23.0,60.0,21.0,14.0,10.0,27.0,225.0,155.0,349.75019999992804,1,0,,,,
40,12,2,2,11,1,6,1,2,41,3,26.0,33.0,20.0,52.0,27.0,19.0,14.0,74.0,29.0,55.0,22.0,77.0,177.0,271.0,416.64980000004886,1,1,,,,
41,12,2,2,12,1,6,1,2,42,1,51.0,13.0,49.0,14.0,46.0,15.0,11.0,22.0,33.0,20.0,18.0,31.0,188.0,135.0,366.567900000012,0,1,,,,
42,12,2,2,13,1,6,1,2,43,1,55.0,19.0,35.0,12.0,45.0,55.0,57.0,43.0,38.0,16.0,24.0,42.0,221.0,220.0,549.9640999999945,0,1,,,,
43,12,2,2,14,1,6,1,2,44,3,56.0,30.0,13.0,17.0,56.0,32.0,34.0,24.0,37.0,11.0,11.0,60.0,204.0,177.0,1083.3172000000943,0,1,,,,
44,12,2,2,15,2,6,1,2,45,2,13.0,51.0,50.0,31.0,27.0,32.0,79.0,30.0,69.0,76.0,80.0,67.0,204.0,401.0,399.89139999996405,1,1,,,,
45,12,2,2,16,1,6,1,2,46,1,82.0,13.0,28.0,66.0,39.0,20.0,74.0,21.0,52.0,11.0,65.0,27.0,248.0,250.0,333.42550000001205,0,0,,,,
46,12,2,2,17,2,6,1,2,47,2,53.0,27.0,27.0,63.0,49.0,48.0,42.0,25.0,15.0,30.0,40.0,15.0,267.0,167.0,400.1285999998684,0,1,,,,
47,12,2,2,18,2,6,1,2,48,2,17.0,30.0,22.0,49.0,14.0,45.0,36.0,18.0,49.0,25.0,32.0,43.0,177.0,203.0,1316.633100000152,0,0,,,,
48,12,2,2,19,2,6,1,2,49,2,23.0,44.0,18.0,30.0,15.0,44.0,42.0,39.0,57.0,72.0,34.0,13.0,174.0,257.0,233.4708000000566,1,1,,,,
49,12,2,2,20,2,6,1,2,50,2,29.0,37.0,25.0,81.0,16.0,21.0,26.0,31.0,78.0,45.0,59.0,53.0,209.0,292.0,349.8964000000851,1,1,,,,
50,12,2,2,21,1,6,1,2,51,3,77.0,25.0,41.0,35.0,31.0,51.0,79.0,55.0,25.0,18.0,30.0,68.0,260.0,275.0,466.5026999998954,0,0,,,,
51,12,2,2,22,1,6,1,2,52,1,14.0,74.0,29.0,55.0,22.0,77.0,26.0,33.0,20.0,52.0,27.0,19.0,271.0,177.0,683.0628000001308,0,1,,,,
52,12,2,2,23,1,6,1,2,53,3,15.0,10.0,51.0,17.0,10.0,43.0,82.0,41.0,24.0,35.0,64.0,14.0,146.0,260.0,249.85239999997432,1,1,,,,
53,12,2,2,24,2,6,1,2,54,2,65.0,43.0,53.0,25.0,36.0,50.0,22.0,60.0,56.0,20.0,55.0,10.0,272.0,223.0,399.98120000012,0,1,,,,
