,participant_ID,treatment,block_progressive_ID,trial_ID_in_block,left-0-right,block_type,block_order,block_stimuli,trial_ID,start_position,value_left_1,value_left_2,value_left_3,value_left_4,value_left_5,value_left_6,value_right_1,value_right_2,value_right_3,value_right_4,value_right_5,value_right_6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
31,7,1,2,2,1,3,1,1,32,1,84.0,89.0,62.0,30.0,72.0,84.0,47.0,54.0,45.0,83.0,88.0,70.0,421.0,387.0,354.6556000000216,0,1,,,,
32,7,1,2,3,2,3,1,1,33,2,89.0,72.0,90.0,74.0,68.0,78.0,43.0,23.0,39.0,21.0,87.0,54.0,471.0,267.0,290.15409999997354,0,1,,,,
33,7,1,2,4,2,3,1,1,34,4,85.0,83.0,58.0,89.0,75.0,85.0,85.0,27.0,87.0,74.0,57.0,84.0,475.0,414.0,422.8063000000317,0,1,,,,
34,7,1,2,5,2,3,1,1,35,4,64.0,88.0,70.0,78.0,80.0,38.0,75.0,15.0,47.0,56.0,67.0,75.0,418.0,335.0,318.4283000000753,0,1,,,,
35,7,1,2,6,2,3,1,1,36,4,88.0,87.0,85.0,61.0,73.0,84.0,70.0,70.0,67.0,75.0,60.0,48.0,478.0,390.0,201.62390000005246,0,1,,,,
36,7,1,2,7,2,3,1,1,37,2,68.0,60.0,62.0,86.0,68.0,42.0,47.0,72.0,81.0,72.0,38.0,59.0,386.0,369.0,325.9807000000845,0,1,,,,
37,7,1,2,8,1,3,1,1,38,3,77.0,58.0,78.0,67.0,63.0,85.0,82.0,76.0,56.0,61.0,34.0,27.0,428.0,336.0,285.7763000000268,0,1,,,,
38,7,1,2,9,2,3,1,1,39,2,85.0,27.0,87.0,74.0,57.0,84.0,85.0,83.0,58.0,89.0,75.0,85.0,414.0,475.0,207.07409999999217,1,1,,,,
39,7,1,2,10,1,3,1,1,40,1,66.0,70.0,82.0,73.0,78.0,68.0,70.0,43.0,59.0,46.0,65.0,71.0,437.0,354.0,336.6124999999534,0,1,,,,
40,7,1,2,11,2,3,1,1,41,2,50.0,44.0,55.0,81.0,50.0,62.0,85.0,90.0,65.0,74.0,89.0,26.0,342.0,429.0,322.1066999999341,1,1,,,,
41,7,1,2,12,2,3,1,1,42,4,35.0,72.0,54.0,48.0,76.0,81.0,52.0,84.0,75.0,18.0,58.0,36.0,366.0,323.0,229.7669999999925,0,1,,,,
