,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
31,4,2,0,12.0,25.0,33.0,11.0,16.0,10.0,15.0,45.0,46.0,70.0,32.0,45.0,107.0,253.0,800.1119999999881,1,1,1,,,,,3,2,32,2,1,2,0
32,4,2,0,39.0,54.0,23.0,49.0,18.0,43.0,19.0,25.0,37.0,21.0,32.0,33.0,226.0,167.0,1400.1960000000431,0,1,1,,,,,3,2,33,3,1,2,0
33,4,2,0,18.0,38.0,17.0,18.0,35.0,43.0,48.0,51.0,11.0,59.0,10.0,51.0,169.0,230.0,800.1120000000811,1,1,1,,,,,3,2,34,4,1,2,0
34,4,2,0,19.0,12.0,50.0,64.0,61.0,20.0,39.0,25.0,46.0,21.0,36.0,23.0,226.0,190.0,800.1119999999415,0,1,1,,,,,3,2,35,5,1,2,0
35,4,2,0,21.0,67.0,77.0,77.0,25.0,21.0,46.0,11.0,28.0,34.0,68.0,37.0,288.0,224.0,716.7670000000392,0,1,1,,,,,3,2,36,6,1,2,0
36,4,2,0,66.0,56.0,11.0,11.0,37.0,18.0,20.0,12.0,27.0,20.0,43.0,16.0,199.0,138.0,1383.5270000000482,1,0,0,,,,,3,2,37,7,1,2,0
37,4,2,0,40.0,56.0,24.0,17.0,10.0,21.0,15.0,34.0,16.0,52.0,11.0,10.0,168.0,138.0,900.1260000000477,0,1,1,,,,,3,2,38,8,1,2,0
38,4,2,0,62.0,64.0,14.0,67.0,53.0,12.0,36.0,47.0,29.0,40.0,26.0,79.0,272.0,257.0,1450.202999999769,1,0,0,,,,,3,2,39,9,1,2,0
39,4,2,0,45.0,40.0,61.0,23.0,24.0,25.0,36.0,15.0,21.0,54.0,32.0,69.0,218.0,227.0,883.4570000000764,0,0,0,,,,,3,2,40,10,1,2,0
40,4,2,0,62.0,81.0,38.0,69.0,46.0,26.0,58.0,63.0,43.0,16.0,38.0,53.0,322.0,271.0,833.4500000001865,0,1,1,,,,,3,2,41,11,1,2,0
41,4,2,0,13.0,40.0,53.0,45.0,41.0,69.0,69.0,13.0,11.0,11.0,65.0,41.0,261.0,210.0,750.1050000000049,0,1,1,,,,,3,2,42,12,1,2,0
42,4,2,0,37.0,62.0,30.0,35.0,12.0,57.0,33.0,58.0,11.0,71.0,68.0,66.0,233.0,307.0,1983.869499999796,0,0,0,,,,,3,2,43,13,1,2,0
43,4,2,0,41.0,57.0,63.0,23.0,30.0,34.0,27.0,33.0,44.0,25.0,26.0,14.0,248.0,169.0,700.0980000000217,0,1,1,,,,,3,2,44,14,1,2,0
44,4,2,0,35.0,22.0,58.0,11.0,56.0,81.0,12.0,75.0,19.0,48.0,48.0,40.0,263.0,242.0,716.7670000000162,0,1,1,,,,,3,2,45,15,1,2,0
45,4,2,0,63.0,38.0,34.0,12.0,10.0,31.0,22.0,71.0,71.0,77.0,72.0,45.0,188.0,358.0,1466.8720000000205,1,1,1,,,,,3,2,46,16,1,2,0
46,4,2,0,28.0,64.0,36.0,13.0,18.0,67.0,60.0,28.0,20.0,47.0,89.0,41.0,226.0,285.0,2567.0260000000453,1,1,1,,,,,3,2,47,17,1,2,0
47,4,2,0,34.0,27.0,64.0,41.0,38.0,16.0,51.0,71.0,18.0,21.0,15.0,55.0,220.0,231.0,2066.9560000000747,1,1,1,,,,,3,2,48,18,1,2,0
48,4,2,0,49.0,44.0,79.0,43.0,28.0,32.0,57.0,29.0,23.0,17.0,22.0,15.0,275.0,163.0,683.6863999999595,0,1,1,,,,,3,2,49,19,1,2,0
49,4,2,0,57.0,29.0,23.0,17.0,22.0,15.0,49.0,44.0,79.0,43.0,28.0,32.0,163.0,275.0,750.1050000000049,1,1,1,,,,,3,2,50,20,1,2,0
50,4,2,0,48.0,58.0,22.0,65.0,35.0,58.0,22.0,64.0,31.0,21.0,71.0,32.0,286.0,241.0,850.1190000001808,0,1,1,,,,,3,2,51,21,1,2,0
51,4,2,0,45.0,34.0,62.0,31.0,47.0,26.0,18.0,39.0,36.0,12.0,22.0,21.0,245.0,148.0,700.0980000000217,0,1,1,,,,,3,2,52,22,1,2,0
52,4,2,0,14.0,46.0,39.0,27.0,33.0,17.0,43.0,49.0,31.0,90.0,32.0,12.0,176.0,257.0,883.4570000000532,1,1,1,,,,,3,2,53,23,1,2,0
53,4,2,0,20.0,62.0,25.0,25.0,16.0,55.0,12.0,49.0,41.0,10.0,31.0,49.0,203.0,192.0,750.3777999999002,0,1,1,,,,,3,2,54,24,1,2,0
54,4,2,0,33.0,31.0,17.0,63.0,59.0,10.0,12.0,30.0,42.0,23.0,46.0,10.0,213.0,163.0,650.0910000000383,0,1,1,,,,,3,2,55,25,1,2,0
