,block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct.1,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total,participant_ID,block_progressive_ID,trial_ID,trial_ID_block,block_order,block_stimuli,left-0-right
31,5,2,2,10.0,60.0,51.0,48.0,48.0,22.0,13.0,12.0,24.0,68.0,50.0,77.0,287.0,196.0,482.8638999998569,1,0,0,,,,,1,1,32,32,2,2,2
32,5,2,3,21.0,27.0,61.0,37.0,25.0,59.0,25.0,21.0,41.0,12.0,67.0,51.0,240.0,207.0,482.87460000009753,0,1,1,,,,,1,1,33,33,2,2,1
33,5,2,1,47.0,53.0,48.0,63.0,63.0,17.0,73.0,10.0,14.0,57.0,33.0,42.0,278.0,242.0,582.8004999999422,1,0,0,,,,,1,1,34,34,2,2,1
34,5,2,2,53.0,10.0,15.0,24.0,25.0,26.0,63.0,28.0,17.0,18.0,65.0,67.0,173.0,238.0,482.9564000000595,1,1,1,,,,,1,1,35,35,2,2,2
35,5,2,1,10.0,42.0,29.0,12.0,19.0,29.0,50.0,84.0,72.0,38.0,10.0,73.0,190.0,278.0,516.1183999998494,1,1,1,,,,,1,1,36,36,2,2,1
36,5,2,4,55.0,11.0,31.0,26.0,29.0,28.0,73.0,89.0,30.0,25.0,21.0,30.0,209.0,239.0,366.3083000000799,1,1,1,,,,,1,1,37,37,2,2,2
37,5,2,4,29.0,21.0,20.0,24.0,36.0,30.0,85.0,14.0,45.0,86.0,15.0,82.0,257.0,230.0,399.667700000026,0,1,1,,,,,1,1,38,38,2,2,2
38,5,2,3,23.0,59.0,51.0,28.0,67.0,16.0,40.0,78.0,20.0,11.0,43.0,76.0,244.0,268.0,416.3835999999079,1,1,1,,,,,1,1,39,39,2,2,1
39,5,2,2,28.0,10.0,33.0,36.0,49.0,21.0,10.0,81.0,20.0,49.0,12.0,31.0,228.0,152.0,466.3062000000967,1,0,0,,,,,1,1,40,40,2,2,2
40,5,2,2,64.0,68.0,67.0,10.0,22.0,74.0,17.0,24.0,69.0,22.0,68.0,42.0,240.0,307.0,482.91180000004823,0,0,0,,,,,1,1,41,41,2,2,2
41,5,2,2,17.0,75.0,13.0,15.0,28.0,55.0,12.0,19.0,18.0,45.0,53.0,37.0,246.0,141.0,366.4364000000176,0,1,1,,,,,1,1,42,42,2,2,2
42,5,2,3,50.0,84.0,72.0,38.0,10.0,73.0,10.0,42.0,29.0,12.0,19.0,29.0,190.0,278.0,399.7083999999449,1,1,1,,,,,1,1,43,43,2,2,1
43,5,2,1,25.0,42.0,59.0,45.0,71.0,35.0,53.0,33.0,10.0,16.0,21.0,11.0,239.0,182.0,449.65319999997735,0,1,1,,,,,1,1,44,44,2,2,1
44,5,2,2,23.0,54.0,13.0,49.0,16.0,14.0,74.0,28.0,12.0,86.0,19.0,32.0,263.0,157.0,466.2263000000385,0,1,1,,,,,1,1,45,45,2,2,2
45,5,2,1,62.0,43.0,55.0,84.0,15.0,42.0,22.0,32.0,32.0,63.0,71.0,77.0,257.0,341.0,366.32670000011564,1,1,1,,,,,1,1,46,46,2,2,1
46,5,2,1,34.0,34.0,14.0,29.0,16.0,28.0,14.0,28.0,17.0,31.0,53.0,19.0,148.0,169.0,333.04169999993167,1,1,1,,,,,1,1,47,47,2,2,1
47,5,2,2,14.0,17.0,55.0,27.0,52.0,55.0,82.0,22.0,39.0,76.0,70.0,16.0,213.0,312.0,383.051799999841,1,1,1,,,,,1,1,48,48,2,2,2
48,5,2,4,29.0,69.0,19.0,28.0,36.0,26.0,31.0,53.0,33.0,34.0,59.0,33.0,243.0,207.0,449.59410000009234,0,1,1,,,,,1,1,49,49,2,2,2
49,5,2,3,73.0,10.0,14.0,57.0,33.0,42.0,47.0,53.0,48.0,63.0,63.0,17.0,278.0,242.0,499.5419999999694,0,1,1,,,,,1,1,50,50,2,2,1
50,2,2,1,35.0,33.0,41.0,64.0,26.0,15.0,53.0,33.0,30.0,15.0,21.0,25.0,206.0,185.0,633.0172000000952,0,1,1,,,,,1,2,51,1,2,1,1
51,2,2,4,21.0,10.0,39.0,60.0,54.0,30.0,12.0,35.0,11.0,25.0,12.0,24.0,184.0,149.0,599.51800000004,0,1,1,,,,,1,2,52,2,2,1,2
52,2,2,2,31.0,53.0,33.0,34.0,59.0,33.0,29.0,69.0,19.0,28.0,36.0,26.0,243.0,207.0,399.6654999998632,1,0,0,,,,,1,2,53,3,2,1,2
53,2,2,4,26.0,39.0,27.0,23.0,50.0,11.0,61.0,79.0,32.0,58.0,14.0,17.0,227.0,210.0,533.0997999998741,1,0,0,,,,,1,2,54,4,2,1,2
