1,1,68,427,25.4,0.74667,0.54333
2,2,30,406,21.2,0.75,0.57
3,1,33,410,22,0.68,0.43333
4,2,27,424,24.8,0.82333,0.42333
5,1,19,416,23.2,0.63,0.51667
6,2,18,409,21.8,0.74667,0.47667
7,1,56,416,23.2,0.68,0.48667
8,2,31,417,23.4,0.83667,0.52667
9,1,62,417,23.4,0.75,0.48
10,2,15,409,21.8,0.71333,0.49333
11,1,80,409,21.8,0.74333,0.52667
12,2,26,391,18.2,0.65333,0.54667
13,1,30,414,22.8,0.75,0.48
14,2,21,430,26,0.80333,0.45333
15,1,21,423,24.6,0.70667,0.50333
16,2,20,395,19,0.77667,0.48667
17,1,18,390,18,0.69,0.65333
18,2,42,432,26.4,0.76,0.54
19,1,57,418,23.6,0.7,0.52333
20,2,84,426,25.2,0.74,0.57
21,1,32,439,27.8,0.69333,0.49
22,2,36,418,23.6,0.70333,0.50667
23,1,62,414,22.8,0.72667,0.51
24,2,20,418,23.6,0.79,0.5
25,1,497,409,21.8,0.79,0.58
26,2,74,419,23.8,0.66667,0.48
27,1,33,406,21.2,0.70667,0.55
28,2,25,435,27,0.70667,0.56
29,1,50,433,26.6,0.79667,0.52
30,2,52,422,24.4,0.75667,0.5
31,1,49,421,24.2,0.80333,0.51333
32,2,39,429,25.8,0.82667,0.55667
33,1,40,428,25.6,0.74,0.48333
34,2,62,408,21.6,0.67333,0.51333
35,1,38,419,23.8,0.73333,0.45
36,2,428,401,20.2,0.66667,0.48
37,1,48,400,20,0.69667,0.53333
38,2,28,391,18.2,0.80667,0.42667
39,1,46,411,22.2,0.67333,0.39667
40,2,62,415,23,0.72333,0.54667
41,1,37,427,25.4,0.78,0.40667
42,2,53,424,24.8,0.74,0.50667
43,1,57,438,27.6,0.8,0.52
44,2,51,435,27,0.75333,0.52
45,1,55,438,27.6,0.78333,0.53
46,2,58,385,17,0.78667,0.46333
47,1,85,428,25.6,0.67,0.5
48,2,37,400,20,0.62,0.40333
49,1,17,420,24,0.73,0.57333
50,2,34,417,23.4,0.76667,0.45
51,1,27,421,24.2,0.78667,0.52333
