block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
seq-numbers,up,a_on_left,53,57,42,53,42,53,81,59,46,42,53,26,300,307,283.4580000000424,right,true,true,,,,
seq-numbers,up,b_on_left,80,47,80,76,46,68,50,69,60,79,64,83,405,397,300.13199999998324,right,false,false,,,,
seq-numbers,up,a_on_left,80,47,80,76,46,68,50,69,60,79,64,83,397,405,200.08799999998882,left,false,false,,,,
seq-numbers,up,a_on_right,82,22,63,66,75,52,78,70,82,76,83,67,456,360,300.1320000000473,right,false,false,,,,
seq-numbers,up,b_on_left,53,57,42,53,42,53,81,59,46,42,53,26,307,300,300.13199999998324,left,true,true,,,,
seq-numbers,up,b_on_right,89,88,15,42,72,29,73,42,74,67,83,61,335,400,300.13199999998324,right,true,true,,,,
seq-numbers,up,a_on_right,90,87,75,44,81,88,63,78,40,85,57,82,405,465,200.08799999998882,right,true,true,,,,
seq-numbers,up,b_on_right,50,34,59,73,60,80,62,84,46,45,35,90,356,362,516.8939999999711,right,true,true,,,,
seq-numbers,up,b_on_right,66,48,80,70,79,73,82,57,89,50,85,17,416,380,333.4800000000047,left,true,true,,,,
seq-numbers,up,a_on_right,52,83,73,54,49,85,50,66,63,75,46,79,379,396,350.15399999998044,right,true,true,,,,
seq-numbers,up,b_on_right,90,87,75,44,81,88,63,78,40,85,57,82,465,405,200.08799999998882,left,true,true,,,,
seq-numbers,up,b_on_left,65,86,67,52,50,58,58,80,62,40,77,84,401,378,200.08799999998882,left,true,true,,,,
seq-numbers,up,b_on_right,34,86,69,81,50,22,76,74,61,63,16,63,342,353,483.6139999999665,right,true,true,,,,
seq-numbers,up,a_on_right,71,79,72,67,65,15,90,87,63,36,39,79,394,369,300.13199999998324,right,false,false,,,,
seq-numbers,up,a_on_right,70,75,24,86,56,66,25,51,80,60,89,51,356,377,350.15400000010857,right,true,true,,,,
seq-numbers,up,a_on_left,65,78,28,67,52,56,79,69,53,58,75,90,346,424,833.6999999999534,right,true,true,,,,
seq-numbers,up,a_on_left,66,78,56,53,73,87,81,56,48,32,55,46,413,318,200.08799999998882,right,false,false,,,,
seq-numbers,up,a_on_right,50,34,59,73,60,80,62,84,46,45,35,90,362,356,200.0880000000587,right,false,false,,,,
seq-numbers,up,b_on_left,41,60,79,72,51,24,40,90,33,90,75,56,384,327,200.08799999998882,left,true,true,,,,
seq-numbers,up,b_on_right,46,78,69,71,77,81,78,64,80,90,19,25,422,356,550.2419999999693,left,true,true,,,,
seq-numbers,up,a_on_right,26,75,87,74,86,75,26,70,77,59,29,55,316,423,200.08800000005868,right,true,true,,,,
seq-numbers,up,a_on_right,47,87,62,85,75,71,53,77,55,46,70,32,333,427,283.45799999998417,right,true,true,,,,
seq-numbers,up,a_on_right,31,68,66,83,37,71,79,63,37,44,44,56,323,356,300.13199999998324,left,false,false,,,,
seq-numbers,up,a_on_right,56,84,90,82,89,44,79,18,74,47,56,50,324,445,9020.634000000135,right,true,true,,,,
seq-numbers,up,b_on_right,52,71,62,42,65,41,65,76,19,62,12,78,333,312,233.43599999998696,right,false,false,,,,
seq-numbers,up,a_on_right,76,53,35,80,62,78,72,77,46,35,70,42,342,384,2451.39860000011,left,false,false,,,,
seq-numbers,up,b_on_left,80,33,65,70,67,44,32,86,77,82,64,16,357,359,283.8419000000344,left,false,false,,,,
