block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
seq-bars,down,b_on_left,82,41,24,35,64,14,15,10,51,17,10,43,146,260,249.85239999997432,right,true,true,,,,
seq-bars,down,a_on_right,22,60,56,20,55,10,65,43,53,25,36,50,272,223,399.98120000011994,left,true,true,,,,
seq-bars,down,b_on_right,45,17,45,22,53,61,83,10,34,40,40,13,243,220,200.08219999998107,right,false,false,,,,
seq-bars,down,b_on_right,54,26,21,48,55,36,29,75,27,40,20,52,240,243,699.5092999999645,left,false,false,,,,
seq-bars,down,a_on_right,13,15,39,22,22,49,32,40,27,65,10,28,202,160,583.647600000014,right,false,false,,,,
seq-bars,down,b_on_right,10,36,47,30,39,15,47,24,20,15,79,39,177,224,233.43870000002204,right,true,true,,,,
seq-bars,down,a_on_right,14,41,49,34,35,64,69,58,25,46,55,55,308,237,266.6473999999347,left,true,true,,,,
seq-bars,down,b_on_left,18,14,28,25,74,38,36,62,11,16,17,13,155,197,433.36580000000544,right,true,true,,,,
alt-bars,down,b_on_left,56,65,32,26,37,35,38,52,31,24,26,38,220,240,400.16789999997707,right,true,true,,,,
alt-bars,down,a_on_left,18,22,25,54,43,59,16,12,31,29,53,14,186,190,350.1822999999859,right,true,true,,,,
alt-bars,down,b_on_left,18,22,25,54,43,59,16,12,31,29,53,14,186,190,583.2504000000309,right,true,true,,,,
alt-bars,down,b_on_right,20,27,48,51,70,67,25,17,20,12,36,17,191,219,1300.5211999999478,right,true,true,,,,
alt-bars,down,a_on_left,23,11,23,22,70,25,64,44,38,40,19,27,237,169,449.99079999993563,left,true,true,,,,
alt-bars,down,a_on_right,15,11,20,32,21,35,83,28,27,33,14,33,172,180,433.44879999987313,right,true,true,,,,
alt-bars,down,a_on_right,39,30,38,34,33,29,38,46,49,54,44,11,204,241,733.647300000081,left,false,false,,,,
alt-bars,down,a_on_left,25,20,54,59,35,79,25,59,14,15,47,39,200,271,399.93859999991264,right,true,true,,,,
alt-bars,down,a_on_right,64,20,11,10,14,17,70,32,85,40,38,27,146,282,683.4881999999751,right,true,true,,,,
alt-bars,down,b_on_right,20,15,16,48,12,15,29,14,58,15,17,15,122,152,300.14990000003013,left,false,false,,,,
alt-bars,down,a_on_right,26,44,16,14,60,10,12,59,57,46,83,52,225,254,450.412500000035,right,true,true,,,,
alt-bars,down,b_on_left,69,46,89,46,20,54,65,25,75,32,47,11,365,214,516.6053000001006,left,true,true,,,,
