block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-bars,down,0,45,34,62,31,47,26,18,39,36,12,22,21,245,148,700.0980000000216,left,true,true,,,,
sim-bars,down,0,14,46,39,27,33,17,43,49,31,90,32,12,176,257,883.4570000000532,right,true,true,,,,
sim-bars,down,0,20,62,25,25,16,55,12,49,41,10,31,49,203,192,750.3777999999002,left,true,true,,,,
sim-bars,down,0,33,31,17,63,59,10,12,30,42,23,46,10,213,163,650.0910000000384,left,true,true,,,,
sim-bars,down,0,39,29,65,10,52,19,59,59,35,68,14,16,214,251,700.0980000000216,right,true,true,,,,
sim-bars,down,0,69,13,11,11,65,41,13,40,53,45,41,69,210,261,750.1050000000049,right,true,true,,,,
sim-bars,down,0,15,34,16,52,11,10,40,56,24,17,10,21,138,168,933.4639999999434,right,true,true,,,,
sim-bars,down,0,27,33,44,25,26,14,41,57,63,23,30,34,169,248,600.0840000000551,right,true,true,,,,
sim-bars,down,0,39,15,63,80,67,62,49,21,13,47,41,40,326,211,750.1050000000512,left,true,true,,,,
alt-numbers,down,b_on_right,21,23,10,15,36,18,21,22,63,27,52,53,158,203,916.794999999949,right,true,true,,,,
alt-numbers,down,b_on_right,74,18,22,84,36,35,12,10,29,66,61,18,231,234,783.4429999999934,left,false,false,,,,
alt-numbers,down,a_on_left,44,15,31,13,46,18,67,14,14,68,76,15,278,143,816.7810000001456,left,true,true,,,,
alt-numbers,down,a_on_right,11,38,29,35,12,13,18,22,29,30,72,26,164,171,983.4710000001827,right,true,true,,,,
alt-numbers,down,a_on_right,37,48,33,19,55,71,16,22,37,37,15,61,258,193,966.8019999999323,left,true,true,,,,
alt-numbers,down,b_on_left,14,16,29,10,24,19,40,31,14,76,11,52,132,204,1016.8090000001715,right,true,true,,,,
alt-numbers,down,b_on_right,11,38,29,35,12,13,18,22,29,30,72,26,164,171,866.7880000001053,left,false,false,,,,
alt-numbers,down,b_on_left,16,22,11,48,86,29,28,29,24,46,41,31,206,205,1150.161000000127,left,true,true,,,,
alt-numbers,down,b_on_left,20,44,50,21,27,21,31,18,10,15,27,44,165,163,983.471000000113,right,false,false,,,,
alt-numbers,down,a_on_left,27,10,18,19,11,24,39,29,30,10,20,14,145,106,750.1050000000049,left,true,true,,,,
alt-numbers,down,a_on_left,36,35,76,38,35,51,32,16,28,30,69,29,276,199,750.1050000000049,left,true,true,,,,
alt-numbers,down,a_on_left,37,42,36,15,10,40,29,28,44,36,28,10,184,171,667.0217999999184,left,true,true,,,,
alt-numbers,down,b_on_right,23,16,68,30,32,21,48,46,50,58,12,50,221,233,550.0769999998156,left,false,false,,,,
alt-numbers,down,b_on_right,65,34,37,58,34,17,42,24,28,11,53,11,155,259,533.4080000000772,right,true,true,,,,
alt-numbers,down,b_on_right,37,48,33,19,55,71,16,22,37,37,15,61,258,193,1100.1539999996312,left,true,true,,,,
alt-numbers,down,a_on_left,61,56,81,20,68,33,30,49,23,41,40,62,303,261,900.3317000001205,left,true,true,,,,
alt-numbers,down,a_on_left,53,13,18,19,56,39,32,20,62,14,43,59,264,164,833.4500000000701,left,true,true,,,,
alt-numbers,down,b_on_left,27,10,18,19,11,24,39,29,30,10,20,14,145,106,966.8019999999323,right,false,false,,,,
alt-numbers,down,b_on_left,38,81,19,29,19,43,68,60,32,41,62,22,238,276,583.4150000000608,right,true,true,,,,
alt-numbers,down,b_on_left,28,58,59,14,16,68,37,16,45,19,11,56,196,231,916.9110000001268,right,true,true,,,,
alt-numbers,down,a_on_right,20,75,15,76,19,17,13,18,69,63,29,20,269,165,833.4500000001865,left,true,true,,,,
alt-numbers,down,a_on_right,13,44,15,67,35,66,47,25,47,12,10,23,237,167,750.1050000000048,left,true,true,,,,
alt-numbers,down,b_on_right,29,18,32,12,42,35,14,12,42,32,15,19,128,174,783.4430000001101,right,true,true,,,,
alt-numbers,down,a_on_left,20,44,50,21,27,21,31,18,10,15,27,44,165,163,1050.1469999999044,left,true,true,,,,
alt-numbers,down,a_on_right,61,51,10,19,11,33,81,24,26,13,71,29,169,260,883.4570000000997,right,true,true,,,,
alt-numbers,down,a_on_left,32,18,24,43,37,14,46,24,30,11,46,43,215,153,800.1119999999881,left,true,true,,,,
alt-numbers,down,a_on_left,16,40,51,11,35,65,19,22,15,47,12,24,148,209,616.752999999863,right,true,true,,,,
alt-numbers,down,a_on_left,15,39,42,86,45,70,13,38,26,18,10,66,151,317,833.449999999977,right,true,true,,,,
alt-numbers,down,b_on_left,53,13,18,19,56,39,32,20,62,14,43,59,264,164,783.4429999997374,left,true,true,,,,
alt-numbers,down,b_on_right,32,34,62,37,60,46,16,23,25,60,34,60,260,229,916.7950000001586,left,true,true,,,,
sim-numbers,down,0,41,35,19,12,13,13,17,71,25,36,49,52,133,250,1333.5200000000646,right,true,true,,,,
sim-numbers,down,0,14,39,42,32,32,54,44,53,20,14,65,20,213,216,1250.1750000000925,right,true,true,,,,
sim-numbers,down,0,14,77,16,53,47,18,11,42,12,36,53,13,225,167,1067.0869000000885,right,false,false,,,,
sim-numbers,down,0,35,41,31,89,78,20,12,84,10,42,54,30,294,232,1516.8789999997473,right,false,false,,,,
sim-numbers,down,0,34,14,50,31,47,29,17,29,34,29,17,66,205,192,1166.8299999998653,right,false,false,,,,
sim-numbers,down,0,22,64,31,21,71,32,48,58,22,65,35,58,241,286,1133.4919999998765,right,true,true,,,,
sim-numbers,down,0,58,45,32,16,10,14,20,64,31,42,42,56,175,255,866.7880000001753,right,true,true,,,,
sim-numbers,down,0,18,39,36,12,22,21,45,34,62,31,47,26,148,245,1000.1399999998044,right,true,true,,,,
sim-numbers,down,0,41,10,26,54,16,15,42,52,10,25,32,67,162,228,983.4710000001827,right,true,true,,,,
sim-numbers,down,0,33,58,11,71,68,66,37,62,30,35,12,57,307,233,850.1190000001575,left,true,true,,,,
sim-numbers,down,0,57,38,14,55,43,36,23,75,12,12,14,46,243,182,1016.8089999999388,right,false,false,,,,
sim-numbers,down,0,32,50,60,17,61,15,70,10,10,35,34,42,235,201,983.4709999999263,left,true,true,,,,
sim-numbers,down,0,37,27,20,35,14,12,71,37,42,47,26,69,145,292,983.47099999995,right,true,true,,,,
sim-numbers,down,0,40,61,50,20,15,32,58,13,23,56,57,72,218,279,1200.1679999999005,right,true,true,,,,
sim-numbers,down,0,54,15,21,47,22,48,17,12,18,25,40,71,207,183,1000.1399999999211,right,false,false,,,,
sim-numbers,down,0,16,34,30,61,44,82,54,39,39,62,45,28,267,267,1100.154000000097,left,true,true,,,,
sim-numbers,down,0,12,75,19,48,48,40,35,22,58,11,56,81,242,263,1350.1889999999898,left,false,false,,,,
sim-numbers,down,0,60,28,20,47,89,41,28,64,36,13,18,67,285,226,1150.161000000127,left,true,true,,,,
sim-numbers,down,0,58,63,43,16,38,53,62,81,38,69,46,26,271,322,1183.498999999836,right,true,true,,,,
sim-numbers,down,0,15,45,46,70,32,45,12,25,33,11,16,10,253,107,1083.4849999998694,left,true,true,,,,
sim-numbers,down,0,20,64,31,42,42,56,58,45,32,16,10,14,255,175,1200.4276000000068,left,true,true,,,,
sim-numbers,down,0,54,39,39,62,45,28,16,34,30,61,44,82,267,267,1083.4849999999165,left,true,true,,,,
sim-numbers,down,0,11,42,12,36,53,13,14,77,16,53,47,18,167,225,1083.485000000056,right,true,true,,,,
sim-numbers,down,0,43,49,31,90,32,12,14,46,39,27,33,17,257,176,1000.1400000001771,left,true,true,,,,
sim-numbers,down,0,39,25,46,21,36,23,19,12,50,64,61,20,190,226,850.1189999999714,right,true,true,,,,
sim-numbers,down,0,12,84,10,42,54,30,35,41,31,89,78,20,232,294,716.767000000039,right,true,true,,,,
sim-numbers,down,0,12,49,41,10,31,49,20,62,25,25,16,55,192,203,833.449999999977,right,true,true,,,,
sim-numbers,down,0,19,25,37,21,32,33,39,54,23,49,18,43,167,226,966.8020000001418,right,true,true,,,,
sim-numbers,down,0,12,30,42,23,46,10,33,31,17,63,59,10,163,213,833.4499999997206,right,true,true,,,,
sim-numbers,down,0,40,23,19,17,33,32,39,20,10,58,20,13,164,160,500.06999999983236,right,false,false,,,,
alt-bars,down,b_on_right,59,45,17,19,29,12,66,19,57,56,30,24,175,258,950.1330000001008,right,true,true,,,,
alt-bars,down,a_on_left,38,81,19,29,19,43,68,60,32,41,62,22,238,276,1000.1399999999909,left,false,false,,,,
alt-bars,down,b_on_left,15,39,42,86,45,70,13,38,26,18,10,66,151,317,1000.1400000001771,right,true,true,,,,
alt-bars,down,a_on_right,35,50,13,15,42,52,39,46,56,12,42,31,206,227,1050.1470000001605,left,false,false,,,,
alt-bars,down,b_on_left,28,14,79,16,12,34,34,66,12,51,33,41,198,222,1650.4873000000596,left,false,false,,,,
alt-bars,down,b_on_right,68,33,20,29,29,27,16,54,58,11,24,15,169,215,1000.139999999688,right,true,true,,,,
alt-bars,down,b_on_left,18,75,36,50,31,40,79,74,51,24,12,18,227,281,1266.8439999997377,right,true,true,,,,
alt-bars,down,b_on_left,39,67,41,27,44,48,71,38,14,14,22,24,231,218,1100.1540000000502,right,false,false,,,,
alt-bars,down,b_on_right,49,28,19,25,60,34,19,40,11,19,56,20,166,214,1016.8090000001715,right,true,true,,,,
alt-bars,down,a_on_right,32,13,23,25,47,19,42,58,35,15,11,44,174,190,2483.9384000000287,right,true,true,,,,
alt-bars,down,a_on_right,62,36,24,18,59,20,47,28,36,44,36,68,214,264,2083.6250000000687,right,true,true,,,,
alt-bars,down,b_on_right,62,36,24,18,59,20,47,28,36,44,36,68,214,264,983.4709999999267,right,true,true,,,,
alt-bars,down,a_on_left,14,16,29,10,24,19,40,31,14,76,11,52,132,204,983.4710000002292,right,true,true,,,,
alt-bars,down,b_on_left,36,35,76,38,35,51,32,16,28,30,69,29,276,199,1150.161000000034,left,true,true,,,,
alt-bars,down,a_on_left,18,75,36,50,31,40,79,74,51,24,12,18,227,281,950.132999999728,left,false,false,,,,
alt-bars,down,b_on_right,29,70,80,32,72,55,24,56,66,11,57,25,249,328,1133.4919999997599,right,true,true,,,,
alt-bars,down,a_on_right,41,67,51,14,31,10,19,46,40,30,80,46,213,262,1383.5270000004214,left,false,false,,,,
alt-bars,down,a_on_right,59,45,17,19,29,12,66,19,57,56,30,24,175,258,1600.223999999883,left,false,false,,,,
alt-bars,down,a_on_left,47,54,28,22,73,28,16,20,18,21,25,13,207,158,1183.4990000001162,left,true,true,,,,
alt-bars,down,a_on_left,17,32,34,11,43,28,37,37,31,44,53,14,215,166,1200.1680000000165,left,true,true,,,,
alt-bars,down,b_on_left,32,18,24,43,37,14,46,24,30,11,46,43,215,153,1250.1749999995345,left,true,true,,,,
alt-bars,down,a_on_right,49,28,19,25,60,34,19,40,11,19,56,20,166,214,933.4639999996871,right,true,true,,,,
alt-bars,down,a_on_left,17,37,40,26,32,22,17,59,16,18,56,14,178,176,1116.8229999996256,left,true,true,,,,
alt-bars,down,b_on_right,61,51,10,19,11,33,81,24,26,13,71,29,169,260,883.4570000004026,right,true,true,,,,
alt-bars,down,a_on_left,17,14,72,20,12,21,30,46,30,28,17,52,178,181,1233.5060000001454,right,true,true,,,,
alt-bars,down,a_on_left,15,16,26,39,16,25,73,38,13,50,70,62,213,230,683.4289999995843,left,false,false,,,,
alt-bars,down,b_on_left,47,54,28,22,73,28,16,20,18,21,25,13,207,158,933.4639999996405,left,true,true,,,,
alt-bars,down,a_on_left,16,22,11,48,86,29,28,29,24,46,41,31,206,205,916.7950000002056,left,true,true,,,,
alt-bars,down,b_on_right,57,26,16,29,38,32,34,11,13,28,44,27,153,202,783.4430000002498,right,true,true,,,,
alt-bars,down,b_on_right,41,67,51,14,31,10,19,46,40,30,80,46,213,262,950.3309999992136,right,true,true,,,,
seq-bars,down,b_on_left,45,13,10,43,33,30,30,31,45,63,11,19,199,174,950.1330000000078,left,true,true,,,,
seq-bars,down,a_on_right,37,32,66,49,27,50,10,17,16,18,12,11,84,261,1633.5619999998248,right,true,true,,,,
seq-bars,down,a_on_right,68,17,20,16,27,77,15,31,18,13,17,23,117,225,683.4290000002367,right,true,true,,,,
seq-bars,down,b_on_left,12,60,82,30,17,82,36,27,21,44,38,12,178,283,700.0979999995787,right,true,true,,,,
seq-bars,down,b_on_right,80,59,43,21,17,38,25,11,50,35,31,14,258,166,950.1329999996349,left,true,true,,,,
seq-bars,down,b_on_left,17,36,57,68,18,68,43,20,32,10,21,61,187,264,766.7740000000687,right,true,true,,,,
seq-bars,down,a_on_right,61,51,45,51,12,46,48,18,54,12,43,37,212,266,700.0979999996721,right,true,true,,,,
seq-bars,down,a_on_left,14,30,29,12,22,14,38,40,20,26,33,11,121,168,866.7879999995231,right,true,true,,,,
seq-bars,down,a_on_left,12,60,82,30,17,82,36,27,21,44,38,12,283,178,733.7373999999833,left,true,true,,,,
seq-bars,down,b_on_left,15,29,47,34,28,37,38,69,12,66,25,25,235,190,683.4290000004694,left,true,true,,,,
seq-bars,down,b_on_left,20,18,79,39,40,30,25,68,30,23,21,41,208,226,1250.1750000000466,right,true,true,,,,
seq-bars,down,b_on_right,43,35,47,66,15,17,28,11,51,51,19,15,223,175,933.4639999999201,left,true,true,,,,
seq-bars,down,a_on_left,13,71,32,11,67,33,34,29,47,18,48,28,227,204,933.4639999996871,left,true,true,,,,
seq-bars,down,b_on_right,35,68,56,18,13,23,32,10,55,13,23,64,213,197,933.4640000001525,right,false,false,,,,
seq-bars,down,a_on_right,39,21,34,58,19,23,40,47,31,26,15,19,178,194,816.7810000007046,right,true,true,,,,
seq-bars,down,a_on_right,55,75,10,60,19,25,16,16,56,81,35,26,230,244,2250.5609999994763,left,false,false,,,,
seq-bars,down,a_on_left,20,18,79,39,40,30,25,68,30,23,21,41,226,208,866.7880000003146,left,true,true,,,,
