block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
seq-numbers,up,b_on_right,75,61,69,40,48,70,74,63,88,75,61,89,363,450,285.81620000002437,right,true,true,,,,
seq-numbers,up,a_on_right,23,79,55,76,82,60,89,75,38,85,35,68,390,375,201.6020000000717,left,true,true,,,,
seq-numbers,up,a_on_right,64,24,73,50,87,72,80,85,85,69,54,83,456,370,387.4384000000079,left,true,true,,,,
seq-numbers,up,a_on_left,56,82,74,65,42,90,14,25,57,84,58,74,409,312,422.41509999998385,left,true,true,,,,
seq-numbers,up,a_on_right,76,85,68,90,74,66,69,79,60,39,89,81,417,459,664.2528999999631,right,true,true,,,,
seq-numbers,up,a_on_left,89,63,72,55,86,22,66,73,75,82,29,56,387,381,640.0231000002473,right,false,false,,,,
seq-numbers,up,a_on_right,36,47,58,43,81,51,51,85,70,74,88,86,454,316,397.2604999999982,left,true,true,,,,
seq-numbers,up,a_on_left,19,55,70,89,33,82,53,76,74,52,64,24,348,343,898.532699999935,right,false,false,,,,
seq-numbers,up,a_on_left,85,71,89,69,81,70,60,84,81,87,80,69,465,461,275.30249999999074,right,false,false,,,,
seq-numbers,up,b_on_left,89,50,56,45,58,34,49,55,90,87,27,32,340,332,235.8020999999251,right,false,false,,,,
sim-numbers,up,0,26,88,86,69,80,46,84,56,80,74,83,90,395,467,899.970899999933,right,true,true,,,,
sim-numbers,up,0,56,90,26,80,84,75,71,85,89,24,74,72,411,415,399.986600000551,left,false,false,,,,
sim-numbers,up,0,64,31,50,63,66,76,86,81,67,68,90,66,350,458,466.6590999995358,right,true,true,,,,
sim-numbers,up,0,86,46,40,78,61,48,77,71,56,85,68,35,359,392,1783.3070000006821,left,false,false,,,,
sim-numbers,up,0,78,69,25,60,51,76,85,50,70,71,83,61,359,420,583.3248000000137,left,false,false,,,,
sim-numbers,up,0,72,18,76,82,75,77,45,56,80,74,55,87,400,397,433.32769999965103,right,false,false,,,,
sim-numbers,up,0,74,81,69,87,72,69,64,82,70,81,62,39,452,398,466.659700000286,right,false,false,,,,
