block_type,treatment,start_position,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,total_left,total_right,waiting_elapsed,side_chosen,choice_correct,choice_correct,bonus_block_type,bonus_trial_number_chosen,bonus_trial_correct,bonus_total
sim-bars,down,0,56,20,66,52,15,48,21,17,24,53,10,52,257,177,633.421999999997,left,true,true,,,,
sim-bars,down,0,38,23,18,21,28,18,43,53,33,46,28,11,146,214,433.3940000000175,right,true,true,,,,
sim-bars,down,0,46,47,41,62,18,72,12,26,54,11,33,52,286,188,550.07699999992,left,true,true,,,,
sim-bars,down,0,49,46,17,39,11,43,51,58,84,71,43,30,205,337,450.0630000000178,right,true,true,,,,
sim-bars,down,0,74,74,27,23,23,32,58,31,77,71,27,49,253,313,433.39400000001757,right,true,true,,,,
sim-bars,down,0,66,37,11,30,56,41,32,24,60,39,26,23,241,204,466.732000000018,left,true,true,,,,
sim-bars,down,0,43,15,17,67,16,33,11,19,76,11,32,30,191,179,450.0630000000178,left,true,true,,,,
sim-bars,down,0,23,12,65,36,17,33,50,52,21,67,24,16,186,230,450.0630000000119,left,false,false,,,,
sim-numbers,down,0,33,61,16,77,24,16,31,41,88,37,50,68,227,315,583.414999999979,right,true,true,,,,
sim-numbers,down,0,31,41,88,37,50,68,33,61,16,77,24,16,315,227,466.7320000000532,left,true,true,,,,
sim-numbers,down,0,32,24,60,39,26,23,66,37,11,30,56,41,204,241,550.0769999999438,left,false,false,,,,
sim-numbers,down,0,51,58,84,71,43,30,49,46,17,39,11,43,337,205,583.4150000000257,left,true,true,,,,
sim-numbers,down,0,11,19,76,11,32,30,43,15,17,67,16,33,179,191,516.7390000000015,left,false,false,,,,
sim-numbers,down,0,19,53,22,42,45,72,43,46,39,37,72,39,253,276,1500.210000000008,right,true,true,,,,
sim-numbers,down,0,76,22,16,26,39,38,82,17,14,65,73,59,217,310,466.7320000000299,right,true,true,,,,
sim-numbers,down,0,43,46,39,37,72,39,19,53,22,42,45,72,276,253,616.7530000000495,right,false,false,,,,
sim-numbers,down,0,82,17,14,65,73,59,76,22,16,26,39,38,310,217,450.0630000000122,left,true,true,,,,
sim-numbers,down,0,58,31,77,71,27,49,74,74,27,23,23,32,313,253,766.7739999999989,left,true,true,,,,
sim-numbers,down,0,14,39,10,83,31,31,16,25,31,10,71,29,208,182,466.7319999999717,left,true,true,,,,
sim-numbers,down,0,16,25,31,10,71,29,14,39,10,83,31,31,182,208,683.428999999899,right,true,true,,,,
sim-numbers,down,0,33,22,63,19,78,58,29,33,26,40,47,57,273,232,450.0629999998608,left,true,true,,,,
sim-numbers,down,0,50,52,21,67,24,16,23,12,65,36,17,33,230,186,383.3870000000229,left,true,true,,,,
sim-numbers,down,0,21,17,24,53,10,52,56,20,66,52,15,48,177,257,450.06299999995395,right,true,true,,,,
sim-numbers,down,0,17,20,73,32,24,23,38,73,53,22,13,21,189,220,516.7389999999549,right,true,true,,,,
sim-numbers,down,0,38,73,53,22,13,21,17,20,73,32,24,23,220,189,1183.4990000000448,left,true,true,,,,
sim-numbers,down,0,29,33,26,40,47,57,33,22,63,19,78,58,232,273,350.04899999996417,right,true,true,,,,
sim-numbers,down,0,39,33,35,17,45,22,17,49,41,54,50,40,191,251,383.3869999999996,right,true,true,,,,
sim-numbers,down,0,43,53,33,46,28,11,38,23,18,21,28,18,214,146,466.7320000000066,left,true,true,,,,
sim-numbers,down,0,12,26,54,11,33,52,46,47,41,62,18,72,188,286,383.38700000001126,right,true,true,,,,
sim-numbers,down,0,17,49,41,54,50,40,39,33,35,17,45,22,251,191,633.421999999869,left,true,true,,,,
