,Unnamed: 0,Unnamed: 0.1,block_order,block_progressive_ID,block_stimuli,block_type,bonus_block_type,bonus_total,bonus_trial_correct,bonus_trial_number_chosen,choice_correct,choice_correct.1,left-0-right,participant_ID,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,side_chosen,start_position,total_left,total_right,treatment,trial_ID,trial_ID_block,waiting_elapsed
29,29.0,,1,0,1,1,,,,,1,1,0,1,41.0,53.0,34.0,50.0,26.0,30.0,54.0,61.0,17.0,24.0,60.0,37.0,1,0,234.0,253.0,2,0,0,516.7389999998384
30,30.0,,0,0,2,6,,,,,1,1,1,1,66.0,22.0,55.0,12.0,73.0,47.0,73.0,31.0,63.0,29.0,22.0,43.0,1,3,261.0,275.0,2,0,0,933.463999999943
31,31.0,,0,0,2,6,,,,,1,1,2,1,58.0,84.0,66.0,18.0,16.0,12.0,60.0,48.0,33.0,42.0,34.0,13.0,0,4,254.0,230.0,2,0,0,1266.84400000004
32,32.0,,0,0,2,6,,,,,1,1,2,1,37.0,16.0,35.0,32.0,68.0,21.0,37.0,77.0,31.0,30.0,55.0,36.0,0,2,266.0,209.0,2,0,0,483.4010000000477
33,33.0,,0,0,2,6,,,,,1,1,2,1,70.0,28.0,17.0,71.0,64.0,45.0,31.0,67.0,12.0,32.0,39.0,27.0,0,4,295.0,208.0,2,0,0,516.7390000000248
34,34.0,,0,0,2,6,,,,,1,1,1,1,10.0,58.0,22.0,29.0,52.0,53.0,29.0,53.0,52.0,17.0,32.0,48.0,1,1,224.0,231.0,2,0,0,983.4709999998912
35,35.0,,0,0,2,6,,,,,0,0,2,1,20.0,31.0,10.0,36.0,12.0,59.0,52.0,11.0,39.0,48.0,19.0,31.0,0,4,168.0,200.0,2,0,0,483.4009999999661
36,36.0,,0,0,2,6,,,,,0,0,1,1,65.0,30.0,11.0,15.0,48.0,31.0,43.0,23.0,60.0,11.0,15.0,20.0,1,1,200.0,172.0,2,0,0,566.8762000000572
37,37.0,,0,0,2,6,,,,,1,1,1,1,28.0,36.0,24.0,46.0,16.0,14.0,12.0,57.0,37.0,51.0,62.0,15.0,0,3,234.0,164.0,2,0,0,433.3940000000295
38,38.0,,0,0,2,6,,,,,1,1,1,1,11.0,86.0,35.0,43.0,32.0,60.0,59.0,40.0,31.0,42.0,33.0,23.0,0,1,267.0,228.0,2,0,0,383.3870000000229
39,39.0,,0,0,2,6,,,,,0,0,2,1,29.0,26.0,62.0,11.0,35.0,74.0,40.0,20.0,57.0,36.0,31.0,58.0,1,2,242.0,237.0,2,0,0,650.0910000000267
40,40.0,,0,0,2,6,,,,,1,1,1,1,65.0,30.0,11.0,15.0,48.0,31.0,43.0,23.0,60.0,11.0,15.0,20.0,1,3,172.0,200.0,2,0,0,633.4219999999159
